Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA
2019-01-01,90.03571167835146,56.39462776192409,45.63600366957146,70.03826692736885,77.24637462909385,66.61960736577343,38.035111533954506,82.34547820490683,37.752699574643,77.33572615073423,67.86934898525566,177.87824595668548,58.226864592935435,65.44022693808625,54.229976848602384,54.65730883826085,67.20783574098472,45.69907985597239,51.410704892820064,52.70634897396158,41.18608017212451,52.95647537273344,55.976033407681314,56.3149956549193,47.97939218264224,55.7596637949337,73.8368831336427,48.15542525580138,81.50539122634234,61.72740579970471,55.75617483878344,38.77570559418985,66.16495341710477,73.8572275582104,70.97736851954578,47.28647583425626,54.838598828257844,71.98130834293424,50.443976375711344,52.37097193168472,44.63769571571811,53.335366322716105,65.9750937703908,54.921622156638755,67.70969283250183,72.49301077468658,56.60838971865872,73.11228315137508,21.359183671657966,72.50894051684308,48.767639855707685,45.66356277362818,60.64452267776318,60.98779359055428
2019-01-07,110.30925503184234,53.32710840148969,47.18583768939305,60.15244559780859,72.63595913475882,62.37797192569853,42.51629516577889,72.12870451738895,32.85976669244416,70.5147110552692,62.386992185544,168.48029874279644,48.29662318589086,66.95563806610544,52.35605954412375,37.2677193306611,64.40028658249797,38.10738881960858,42.80740866624369,55.20432696503464,40.889502818001645,59.39084996318692,51.47441913669286,61.087328264100854,44.74578551720515,44.198230876683134,70.33670020109967,45.83262274574319,62.30715571583114,46.70513960716774,57.93349600279807,46.983460139281654,50.54231089121458,73.82972909323094,71.55488856312803,41.72574155948968,49.506495110071036,63.69922844224412,51.15979956925258,58.0000446129825,43.633213076111936,60.09547952556416,62.83730387400065,48.5242759340477,77.44821035340918,51.56320921290582,50.400285919704245,175.35692953488612,44.54072190343675,62.037117465697186,51.61629053546713,35.238857415358474,68.06529192081334,60.06662099624881
2019-01-14,96.9631605526159,38.39052276118088,42.17693304533393,55.05900684783864,73.2328246983882,66.105078390062,44.63850750864536,66.518543743151,32.98417845376858,71.91505852371246,61.7242866557849,121.33580708269973,37.853848840903595,64.34043312379933,47.76199084426076,36.628489015812455,59.598337391246396,38.92971996205486,39.562909686447775,56.48904930794088,39.434679136168974,56.77025842774506,50.08484361180952,65.66531249238656,46.3552674413189,45.991933271864745,55.27907670619405,44.091194508192665,50.06926026801767,43.779060645649565,45.171348125490475,47.73843036871935,48.655460133158186,71.70221253408984,72.35954236751101,36.46598696711046,43.276167390906856,60.25975980500368,49.63018632333346,47.636626954683855,54.68020884239833,41.695766586500575,59.9052341027113,46.69384130242593,76.0607244652283,60.710755184564285,50.86471166152327,76.59579554525072,39.70410824987219,65.71277613041839,54.96822599084326,38.392181206515616,66.84737577460956,54.819943376563465
2019-01-21,92.40165042190182,42.242660986439844,46.38168105416207,66.10921222088459,72.84210740455245,65.69126007268325,44.502238357354095,74.3211855437019,35.73523999475238,78.5711111997642,66.91641378082275,129.77287256165621,38.16589478021426,68.77043001884985,50.324330057385595,36.54866406706743,55.98644954910007,40.02819088963271,39.681968108602454,56.325648484615,42.81312684748447,59.30884017774978,50.636244170798676,64.81850964357638,48.4142026648246,42.140973361886495,64.08195559764617,45.280423378459,52.90662824396858,47.12055497216266,43.72306511665305,50.275697032105036,49.64256818583097,73.16153158085808,81.12665922798344,38.345878388297976,42.68051932212812,71.38285828699597,51.650344899337185,50.33723582078207,40.082361164526866,43.01486444889162,68.19265017517468,51.89207837293865,74.9805133161547,59.19897467875799,51.81793813559121,164.02779481092043,54.93474610923896,69.45082406317725,53.50295684105487,37.21716639732614,63.803484943189105,58.552516602464415
2019-01-28,106.32007297752008,34.63975383318271,44.22183155859392,83.59277704837993,74.74577514744661,60.96976208506379,38.41287338780052,66.01716607808714,41.347355478190295,80.90370416888146,74.29185672311922,114.0194936116378,39.458691125567704,58.20714546853371,46.94118077583105,38.95873841990576,51.34725866576194,38.18356968691001,36.53662665178504,54.409410434378636,35.269927205334746,67.64252638805544,45.78396937713914,58.65147443621298,42.953558901933896,39.63956282159429,56.68135310765897,42.97741437173653,45.76420114751441,45.65383311947386,50.9895114046745,45.711032247656576,55.270705376106996,72.06324944523853,91.83482073776399,34.887857450111426,44.2909811512179,65.41401479482306,49.162175688071784,38.432153771777784,43.75305113110274,40.83879710148347,55.48050509482633,48.537064680456616,73.38696737730812,55.99493148990629,47.21342497545904,119.15676684629541,42.92969104986932,63.34644332807376,48.98670056802275,31.867960017211704,53.512650465162366,55.42649661124249
2019-02-04,89.01148391289443,34.151061847614045,36.35742007401401,48.70126307200092,62.36639689731339,57.767403864347706,38.577923329461115,61.72803898247099,42.562521520648176,65.25323825517127,56.3986353214913,109.483164359514,33.96718652255377,45.79389631274458,45.78745233664253,32.294778972552514,48.08948525524835,36.55166146892157,36.105446321685754,49.471809482203945,33.37579745591575,53.270152461084045,44.65794719748097,53.734070333303535,38.989755561823,39.7295893300165,51.10516597641924,40.00733446944687,46.54105544166994,42.898691464762656,50.981593293976424,39.9998952314474,44.324297265986225,62.3389629741774,62.516053074713106,33.420745170228706,37.83075349200188,55.29621214865424,47.93099959143885,38.95078472599985,36.97797455552603,36.97209070588527,46.177587087615464,44.03592398372907,66.62786063103428,51.20848035474182,44.20999726227059,56.60752537212512,42.885682575244495,55.27919508033585,43.12458808842266,32.01330965430397,54.59470383786127,48.2836800747007
2019-02-11,126.58716991113992,41.8189038645294,41.86139334603158,51.962043935629254,72.70743675367038,62.99774244050646,45.830902556194594,79.27550482149003,39.273799666567,69.71621551108603,62.00225524732029,128.92827287618329,43.68593310279656,61.18622526599876,53.515057023598615,40.51146499324976,55.93425341012697,41.9447536701552,38.070935981050894,59.55405756148422,39.9384421128406,58.08068985510776,51.5565083740709,57.99015237664418,44.37505674084653,43.512694028330976,62.332224008825186,46.86639317281849,72.5640398529913,48.2038949788383,58.291568724577246,43.40752582347779,51.676872222788134,71.91878332330377,69.73988705695517,39.31416019865232,43.58288400140526,62.17025159534275,50.68181287966286,40.591068081879,37.76273246000492,42.713020101839156,65.27380489193575,49.19622198243514,76.73020048997984,70.53350280307997,52.611492346544544,131.01351896801123,36.68268581114751,65.82892630427422,52.84583051615119,36.905048873103645,48.34408295659728,57.36981697836362
2019-02-18,98.85883571752899,40.433957006914646,45.44617826101047,48.64873074814751,72.4206998984759,63.53094382583424,42.588018141354006,84.33115355964783,42.68003504413569,69.85477703987426,61.87409693927373,124.90350470671468,41.88452913127915,59.801504281844814,53.58111937559598,41.96206125770305,58.157976156383974,38.3456333969196,37.88935880111042,62.8137176189292,38.500837162272354,64.05627865119484,55.18662110600636,63.0090293856773,47.89629630977107,42.52009646427978,56.2535763483739,47.658581633656034,67.2245909804161,47.038090778729966,54.53096183918544,45.83368162660802,47.60797852244572,69.77963298571875,78.3978364901785,39.69599965681285,46.19815247362544,69.78414534248019,50.103546875132906,31.62898562401176,55.53608259032519,41.00842747829503,67.91936293888172,49.104642825250025,78.93430043176059,69.65212992344303,50.90504677080264,196.07321794942126,60.8100650928287,66.47686089254535,51.13897371321161,41.21347602841222,70.014867600626,59.4660227434162
2019-02-25,123.64196518807272,43.46306244186612,43.10019404217884,54.398963308793284,71.74740426437003,65.39760889603058,43.97159707384871,74.21361751086474,40.57273681969888,72.17668153569679,62.032960839357386,130.94766599469207,48.77471131265314,63.699073006602404,52.007087133901535,42.6821513691655,58.36105331483094,39.911278934145216,42.04022967973866,55.69525694556364,42.72303488022814,46.22562406321245,64.70611713772932,63.31410771285504,47.24862136002037,45.330823051090576,65.79577857261224,52.62228895689199,67.03868599728065,44.20078492432045,60.473947428783525,47.982612824136154,50.29102859891838,68.75610846396268,71.08110294166706,43.1107537429416,43.55894822209614,65.46329217941862,56.06656761856709,31.73273305612889,43.9510680747664,42.23625883651135,73.49875405441028,53.8919869924711,76.95008727070321,57.14194630197025,54.74672176188211,161.0519510194691,65.62794855736358,72.78369708834295,53.40777729820189,43.03352437749195,65.09851582718028,59.81091507180561
2019-03-04,116.92219759922249,49.79537410893684,41.31309441806796,57.06427251507802,70.63016993042058,62.7099104429679,44.60638638494646,81.61526624636973,39.65482168559241,67.95785355032926,59.657109263790325,123.20066585673527,43.61689683580947,68.2351015156772,50.58660476557635,47.75502358643112,79.08176162307255,43.90109286654157,43.53496597658807,58.9664539477289,42.27445074369313,58.237565425661344,62.614323720008294,63.93638642333001,45.07944161593,52.07092172701645,59.07332161652009,58.5892869292551,74.55632535135183,57.31655301411563,55.187252338094005,45.21912398002732,52.63988940782664,68.47391724722742,66.52675989592599,46.065598146049396,40.23587566026181,60.342948547291314,54.48368387432339,45.63688665202169,53.85012012759749,47.399781288207066,62.392701132126376,55.82566932679289,78.32839605489919,60.732157092663755,58.792815541500424,204.4338079733757,56.89799077419831,70.42887882510647,48.427734140126326,44.79349705998006,61.81597323485977,61.57518977372164
