Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA,Northeast,Midwest,Central,South,West,Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton_Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula_Vista,Cincinnati,Cleveland,Colorado_Springs,Columbus,Corpus_Christi,Dallas,Denver,Detroit,Durham,El_Paso,Fort_Wayne,Fort_Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey_City,Kansas_City,Laredo,Las_Vegas,Lexington,Lincoln,Long_Beach,Los_Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New_Orleans,Newark,Norfolk,North_Las_Vegas,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Ana,Scottsdale,Seattle,Spokane,St_Louis,St_Paul,St_Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia_Beach,Washington,Wichita,Winston-Salem
2019-01-01,84.23537779697449,55.94499881043964,45.41294901328529,70.02772919244735,77.75760355395037,65.26976205580273,37.98730055000134,84.94373978814122,34.10151349169811,77.53504378138156,68.45163076852465,181.03490535755355,55.622017820693294,64.01591965763086,53.75077823319628,54.41026614366965,67.5445559842879,46.28351820362442,51.62756035718854,52.021298700631895,40.741040136698096,53.222178369035,56.68131475485809,55.4947605339736,46.85520787384634,56.58652563539693,70.43290547126003,48.748054711888685,84.96881175216224,62.71901372662122,52.93247280709073,39.75167163202436,66.67420681279411,73.96381964194535,70.12838584946101,47.1626051199206,55.17307973544276,71.69282140455076,50.648455360917644,52.73602003675909,46.37711477550325,52.2107989481054,64.95741119682222,54.10613391724252,67.82063163222756,72.52838544993477,57.08350372092002,78.07034824304641,22.27653263154028,71.95247012323668,49.41666998248213,45.54236287985195,57.83059532423466,60.85782602741355,45.94469241679036,51.7419042962516,64.22038334043981,58.53073074631938,92.7834845714522,55.476335188038156,55.56173960890254,95.15734430414645,55.59145774252833,92.92888860370121,35.806066698817865,73.58977205623023,37.66501787418571,41.221088165317774,70.61617329367256,47.34538482613037,74.60838940812326,34.038438189462944,51.4138411635651,57.25791015124259,38.1723378023835,62.12444943969314,54.73321998662974,64.5558947953489,54.77920153853538,63.58058162021353,59.863434794429644,53.75426030565974,57.92906929256064,69.15559013690233,49.49358881083818,49.893763166960795,49.485848495421855,42.2722610693132,57.53891665938735,58.028133716542946,31.79130492199501,30.3634422821066,60.44668397383892,35.135891880478965,32.500327826415926,63.84727050397603,62.86572759650113,166.57708596896325,48.755561542917,62.467030562468594,68.81757301077103,56.900664609835566,45.445902740018816,65.07904297715187,59.92189323415601,30.560025793736664,77.10629476459403,39.93749657994592,64.01155370908337,49.92189101929878,102.55174748283268,44.1914183368639,61.822486453891074,45.750846622890464,44.117528819066784,43.26153694637395,109.04735748449305,42.1774920494899,66.9861436769563,68.92671852138436,83.75856953306894,52.22512936560812,55.597552344165095,60.711338846950255,32.08106056255796,73.92997658456503,49.523157433796094,63.21339848035597,91.67326512562113,48.30711610618386,58.16147035025973,51.54646543349077,85.73565741088181,71.55568590521294,43.50520161705184,60.16323977066966,47.97422356814798,42.24121209610587,57.334464500753526,44.73149677654306,87.88447338018587,121.67272877325077,62.622445179330406,24.812822322209747,87.68492334421593,99.12779073262077,51.12000145609904,52.204888971951036,46.880845110997726,42.464052127232605,39.92986470994603,68.34040555634326,31.313596103932685,53.62138560980405,54.54724799721453,45.502682372816324,82.57308233311323,37.083796212207275,34.487472701637046
2019-01-07,100.98214380151569,52.95968433139388,48.237727770347846,60.99565202599984,72.75729877685444,62.18925100179555,42.08552330071037,74.3361456747917,32.22030729167616,70.20370727682793,61.448476628961714,170.8671914864737,49.52901943183459,67.0255622556146,53.234257277326456,38.12253926663392,64.457703791681,38.852988332117704,42.86307427449465,54.73172511742504,41.482098924933034,62.01217589386278,52.324379606576684,61.33531343643335,45.305396297638815,44.47180172423878,70.15181905911983,45.47739001058395,65.27546710343111,47.43031687599927,57.74565625351257,47.311887988254604,51.10030623332371,74.23981728143548,71.17449145643049,42.02645758797526,49.88521479896289,64.66701957132713,51.15491583439935,57.009362918523465,45.67054985984599,60.633973221500405,64.31511461540015,48.4430580068964,77.64329113522611,50.100954587033776,49.85132007132309,190.29361809152599,45.37958316379036,61.560012437100184,50.498165707411225,35.265372646520206,72.65469026703305,60.60360324117068,50.948681615990765,47.914279660438666,59.50263204844612,54.010122679373225,88.63821968321183,36.74312333139786,65.80171775743479,106.5974061796601,44.849883716828366,94.2906051802754,56.801767735464104,61.82439392624281,37.841920796109726,46.14740643232571,44.73648808607976,78.86657832709044,71.17726820935373,40.9375786324526,46.528704603378344,48.548938161422605,30.480292930765646,61.739537100143814,40.216047437313364,60.96755445611797,56.459462648068744,48.17618594945314,33.261817404497755,52.35320727319704,59.082157740568924,69.86386787733234,56.05217872988134,42.235065100461604,39.701373542562024,28.55805339387141,47.44321859948057,64.93794356532165,32.088153739403374,29.002749243276888,64.58369495769367,88.64451679026222,40.313654730829455,64.05337188157458,24.946111060190464,159.1821246988095,48.28708202451085,37.353443168732376,74.0637236741497,56.135274047959136,42.203929882100695,65.62162767511808,53.99823875134197,29.980282009141888,70.852098246639,32.904971904071324,41.57771116316094,45.75456234464181,95.73121707415542,42.14314327416609,68.80708904204678,60.52161948083664,45.22666319923232,37.90142862611922,106.11187332695707,55.87120457546304,72.09240849893034,66.02680361126153,85.92248423516087,56.52413200335373,58.28933584184078,43.89527341345247,37.65352571208058,80.68170025685262,39.58193852533329,45.17962316038373,97.0658966045217,52.21645775167718,56.453531247168776,46.05065340618782,60.438078202787075,69.58737094117825,40.65220620794892,55.567029407175475,48.41959717572485,32.97590836775434,64.87349611544926,39.393741111533615,71.22199492598334,98.279374604949,62.42222128110912,34.72374377414644,74.6141275958656,71.68592040808338,45.204337981073344,52.067038468802785,53.02393935410574,59.33646508365415,32.8883461956149,69.15443557926254,37.22447852810115,62.31773404101824,38.495558209104985,35.443661758298006,72.23023197514344,31.34152445541934,43.304219000696676
2019-01-14,99.65225730427366,37.928445733406036,42.27815948163922,54.61250329245274,73.15099520106068,65.81977797674088,44.946275690083496,68.28494871109541,33.811296750703285,71.93485385806186,61.813086100437424,122.14545682154942,39.280480792190055,66.12934049025432,47.6056931574603,36.581392623872965,59.628765909050635,38.96486095990205,39.417542956798854,55.034149352971134,39.720122351335284,57.54595092720354,50.2286338264713,67.51003332325875,45.7378147575881,45.92791547272225,53.15007808768603,44.139429247450295,51.80748785073047,44.6994763919392,44.48440529606964,47.65920883969353,49.6509366693427,71.47996694818366,70.66792356845012,36.11102571233978,43.45342082513093,58.813678165605175,49.79478318554956,47.3690941240629,50.746244322382935,42.07465567297589,60.64547744995205,47.054679006096585,76.52667092975885,61.75578735035846,50.725971549945854,82.63407302775086,41.31426279210524,65.09117948069428,55.26641807027962,37.64959317189758,70.61623686911139,55.11458336656844,49.60045007252124,46.36515035815143,56.43669010371249,50.13257854027022,78.91101171093933,35.66447418535178,74.6812720590346,113.36183048298328,46.606404831244895,88.01075967968741,56.43662452411617,69.65965190888059,31.041853515516248,34.415526841864036,30.768851420344387,54.881839328311614,76.45542382674401,52.21421972570515,47.9831171891942,53.16692071105058,43.83585793003869,58.68967864418951,50.91931507421207,46.607478618763935,60.48594247092348,57.244649222716134,32.11900590622907,48.06158279710619,57.9036143353323,66.24085647310054,52.72437412335922,34.04575608347147,48.91939593328127,29.74275461490058,45.709819678286344,57.0957628946785,29.31739971143519,37.61549521671053,46.52182124467238,24.77494318592378,21.64552579399613,56.8983464194,37.14027797944458,123.86933608140755,49.84661993516322,40.1785087847129,67.61384236940228,57.30677029255722,35.08328459266718,71.28524408785154,61.216811234128684,35.72620464346965,72.67097590995353,35.15719242169764,38.63538796297504,48.09184179737644,98.14058249856843,39.023786124900774,42.55235737967885,30.64685940984612,44.09749934157548,32.31374265342331,116.68689936706305,41.5180273393465,77.62693216976993,62.675132678552934,86.84352733283716,50.357726846792886,56.77672393509492,43.72638205649034,36.855460617328944,82.54091568057103,36.90941034124809,36.89136862373549,101.27043437124635,46.76379789609003,55.96021418475721,54.065802894962886,64.89782482137434,73.21215981216753,38.69578445986305,50.00610938617404,38.28579249434154,34.418808361301735,47.646593327192925,36.89217440215426,65.68772745534554,109.1149033195497,54.75808963186936,38.886534531421965,76.76606409763535,78.6283221842527,57.8172273379148,46.81890442237954,51.97925328567218,45.845053023248674,33.569372044058234,73.14967716961034,33.58913991229373,47.152001270327396,36.13697866494585,52.54764481054778,69.33663293117624,31.51272121206336,23.552361522132195
2019-01-21,95.9590955506495,41.63884343133801,46.99541795300839,65.83421811474284,72.72346791082039,66.08836462060614,44.66374731239849,76.89805878377325,36.376593509289776,79.07032902167226,67.92728723908348,135.44807403499183,38.06312988664664,71.51105994059219,50.382305305347394,36.833008378080585,55.441125508024065,40.43971721401071,39.90439894859816,55.69604733864937,42.972727137230294,56.7928360164139,49.786989479527136,65.54587872088835,48.91888334240425,42.18325049999184,66.3614893091534,45.02011196312088,52.82595720516996,48.92691005666681,43.64611696237919,50.418186701713,50.83454096212261,72.10379878471953,80.2111714448107,38.15014236985167,42.38557708058003,69.7823256713434,51.43594165832317,52.593787219392176,39.48176387230843,42.129559009323,70.57340579995827,52.14439935909524,75.47901752012723,58.84168936728322,52.298503367522876,174.4422579735186,52.20464473166525,70.37626450202514,52.97748729854748,35.31437459727649,64.76543229656009,59.05320211855354,51.09270495479513,46.78861577725602,57.82633974082262,53.541419390943574,85.02057429742884,42.633979273711354,74.20143112286209,112.93126311680453,54.40371999550398,83.9363862845045,26.36205534913447,69.5598711607155,34.707810041320194,38.96470570026442,33.09870520893023,63.06891782007046,75.7509849592119,43.2044684550909,54.26338482871983,53.583659931517026,46.1936104964541,61.376037180432995,49.92783754320745,45.67021590846764,57.06263045172678,56.89412279713458,33.08518174513556,42.166691904568246,61.847742129768974,74.56735983914152,57.40262925735762,43.61670539494466,49.13264022382582,30.36070180941064,48.735735238853515,64.84647253296835,26.620998661598726,33.24934301637933,56.45422599341085,67.07433040227416,24.485407262996233,62.07527498251671,31.80139272876566,127.74679494324648,50.559863994727046,43.15973813276815,60.11230789197028,36.83905103838941,31.770666996412988,41.04976492823858,65.25219249904318,25.381186823272238,73.84186736602028,34.515714896806585,40.54339039917065,58.50352021329244,92.31526557544343,39.94961498804988,29.226716443244896,19.325360216640608,43.832374332664926,29.387980481698218,122.59714308045989,49.87047716061028,76.99513451323806,77.3908066680868,95.9362119330597,49.346197107685526,48.6653188301032,31.357168008043732,40.88575257354438,71.99583730514556,39.24187451795718,46.79788050980989,93.11471960700676,51.95580702727491,53.22376244491293,60.060648465911925,66.86027396579307,81.79938349698759,40.957129067955314,42.38911821533868,42.02497963298576,36.72210563996193,55.015495685888965,40.02093786036581,72.93312778077026,107.71143620304373,57.04402873903342,35.076896049550726,91.60624136194296,89.55679866992365,51.81453456116215,53.55983691649396,59.31618040835731,67.22801118449296,25.32205193313292,71.00233486875844,34.27582219390571,34.986987311186425,42.4891755069587,44.28154707521882,76.20827764272451,34.96337218158698,38.011529159806216
2019-01-28,108.68856200774776,34.37966144066796,44.43227759518673,84.62683464150184,75.07700104729571,60.873475566247215,39.87421797870225,68.03291637543443,41.45708171856878,81.38394399804906,72.2871890600809,111.21825862389049,40.26040330172213,55.1235584769312,46.78973438599639,38.48209785427285,50.17280154797982,38.383835039398186,36.516873508244174,53.01268847603694,35.467186412471825,64.92330779373192,45.693943096385276,58.6275035631727,42.562087750222474,39.82688088899389,55.92035928186407,43.02644441817033,46.52853077984021,46.67405093938673,50.726820348022926,45.3135292885953,56.430430210048286,70.50431101051215,90.93571090168658,34.646280560014674,44.86243085147056,64.31287807973082,48.83160862907914,36.15702787773149,46.92250837777869,40.562259699587706,56.95394946236181,47.62706337305847,73.55245494532323,56.6871550072036,47.50535459718452,124.57298352112706,38.48861339647393,63.89456685455682,48.797373736013654,31.851371570321945,55.00339756196856,55.38610919675558,52.04860869086765,43.80480658746648,53.128933602097646,50.21233909450272,84.63635020912058,43.57108701680296,70.26476922801966,109.60287549279153,39.974030613943,70.64081385995709,16.349104608392132,57.75781367627527,23.44542941469059,38.394550528202416,31.00502481050543,43.61633512165867,67.77565216186387,33.257658044963186,41.42235437700428,47.40139779841903,30.656739893456024,55.82056706750642,32.27148575330904,41.9759454341646,49.54658478533414,52.87825568454221,33.79045117019179,47.18398839078279,54.90588453992277,69.27852239869347,45.8924461366125,34.287220311366205,41.48946936619476,38.14737407733009,45.09543949202693,65.01159173859932,33.311349328931044,32.46598290002057,40.643713040039756,27.89614757916445,27.868282512895714,57.63006072619745,23.722748349893408,98.27604643832771,47.88713714043024,41.3725904795883,77.13055618560908,38.8966665578568,23.11355441276392,57.64553728101986,52.55249384012955,30.06158232958168,76.22935727814054,27.630043865957198,37.160252138143065,42.090629109023574,95.43394342145956,41.30555226419264,33.17952873524057,47.460077785974256,40.72576843317167,29.192048732279684,107.66573371609005,54.00295587831438,67.39738389763691,69.80810456460489,89.9838685764654,51.70352120140927,45.830748117906865,21.571187368994106,26.573646508434287,71.68499328136396,35.440197568056895,40.087163817185896,101.2489273475188,52.07775207890151,44.9883218212463,51.224337402929116,49.3108777063015,70.9527787034085,43.49997382560009,37.13267294891399,42.85073726935336,31.60395472456529,45.651304473254974,35.80246828409557,63.317287798454274,106.65786012529324,48.83960569335778,46.30380420856668,72.63396454295513,84.97352561261043,60.120957688367206,58.62850850397165,41.337202059901315,59.37115378427415,21.25014739370685,54.4377447678855,29.020791823996554,33.688873577893304,46.94587616203556,44.90396748756978,72.22562624967973,31.976407753337607,28.46581267107373
2019-02-04,87.33894018314122,34.344595793191196,35.54244667214452,49.07275564734865,62.32408533823704,57.69332191921987,38.07346298211792,63.0919123598471,43.45983773325573,65.44162136942225,56.79957319683522,110.3367507533163,34.22851196943234,45.75651412147485,45.71108487400054,32.86092592989373,48.66869689081659,35.05745291940397,35.88534309707488,49.34352502472005,33.890119187905675,52.13825729716771,44.56328295139435,54.44979346023487,39.00510668074253,40.053888667055894,51.80852183012287,39.924076247285946,50.40095737625202,43.98779052210014,52.41176728232063,39.22381898191548,44.93430359206294,62.760790503183365,62.012857680605485,33.544473990540936,37.85500530742803,54.3741632628705,47.56217268313927,40.45785569002557,35.27709207511299,36.22600150725423,47.73517051205403,44.053975304786185,67.06191144820403,50.47185425270178,44.3043478359377,57.61837403948449,40.72834531574399,55.38788621335036,42.609463354477256,31.784630418581052,55.264841329253095,48.39460859577714,46.02311370560992,40.225566236680066,48.4925848775718,44.98608532210466,69.80576356637734,41.123374821691854,58.44660282626858,82.76122859566019,37.5588111545289,77.8831054832403,31.439162402088762,54.74448964063754,31.820159324935805,33.498741456512484,32.26794615441121,44.07757011353458,60.74097575001649,38.319708665943686,38.573274572810156,43.35417474634574,26.919616625817252,54.98906413342672,35.65253442626079,42.66940148750996,39.43366260091954,46.244734572109564,30.30448078050333,36.984716349278344,56.246167663668786,70.40115747344039,41.52572305753065,43.970561135225275,39.668063984484576,26.984691155475165,39.77113948564241,52.95492906502734,29.45657629776456,22.73342201047905,42.64974715069275,18.417470168022625,15.457966780496822,39.558060210642275,23.86499820894343,101.09457902650804,44.188934362164034,31.99382034928513,43.22704255829365,37.374152937328475,30.559681238675342,37.23851030823494,54.116972456269075,22.90703536970468,64.84690602755762,29.20041990821404,31.866252557123094,38.47506704233577,86.23237363553972,33.76775397022817,39.5616158575186,30.63809380620211,45.23078027591643,32.67085387480535,114.05584463251164,42.98262212045208,52.77282171243112,55.87391708796208,75.79058726440586,52.077952230472384,34.65436589110302,29.69971461226131,39.25058852442039,86.75203248518505,24.833228053929925,39.2721063410472,91.04214768443516,50.07042588796168,45.69129726188907,38.94574763553045,53.922804054209024,60.25321779473548,35.73746990438299,43.924113398671125,42.539711223343346,24.38061772305688,54.646008242028635,35.05134267804599,60.466307185656966,90.24764844062516,42.858061551430076,32.661622855733924,76.28608857212602,72.84742389926555,37.06537260392385,46.82708293741271,58.45817609639097,69.76304441072382,23.75489571862773,60.1713289839097,21.846065766335748,34.110945558048755,39.134851214353645,47.36973756822111,61.60596829457843,31.098786355138806,28.859319488430085
2019-02-11,125.96715102635187,41.08524111653488,42.17555497826447,51.46978729633217,73.03161546885116,63.8774793316907,46.91169395970861,80.245955750726,38.619692423984624,70.23495241915433,62.35777552309775,126.24155141960978,44.03963324670909,60.97225821756192,53.173447055887955,40.90320368240712,55.34255354538272,41.586754643282774,38.16476781717612,58.89021078231696,39.96107248379253,58.004539543706564,51.4013659174847,57.77895115724496,44.56568785974898,44.30635356028176,54.22085974985611,46.42146957891054,68.82635151729193,48.48429266714262,53.888748016396676,42.09899989797044,53.006533501438724,71.62314007257447,69.83334604798614,39.257056917639936,43.29052465188109,61.363276523555406,50.99431881915002,40.206012913349056,38.191588819957644,42.306715307577356,65.69610077590394,49.27169345985197,77.1094241228207,71.76859821173151,52.64790309658493,97.34680443970258,34.475930986943624,65.59902826614322,52.440946039432895,37.13848670561578,49.78839944563058,56.3887886939685,49.19090692981213,47.23856072442649,56.79082451041434,52.16712654418461,83.94540166680727,45.98644984294716,65.87617704978213,111.78322239812869,47.48030251578336,93.18075666340911,37.40302291369208,58.87880294518879,29.7830674757196,41.4321286278869,28.846543456675967,60.353904203075324,77.84344266816603,36.475506712784465,40.35126970578913,57.546843037247285,43.878896401209396,63.744986858680036,35.28937626828029,43.356210068561694,47.89865357098501,66.9965419861976,37.717244742408866,45.90035958878809,63.47994466017685,66.77671491888765,46.702051874422644,50.39572809757525,34.354588638729226,46.74897048563038,47.25150118287362,71.62032588277275,29.83061625190105,21.796689504160614,48.797798689011046,35.1610776050537,21.638104761032185,47.673947607993796,34.1470322672142,117.20025291952284,48.69572812646063,37.48407196088292,73.33939415370888,45.13755612628749,29.25658100401628,41.12901293520938,69.79043442931675,25.866626099976603,77.01986145888203,30.75580786494842,38.02928579814085,45.785110937827994,97.27207982884569,36.47844667359257,40.57450804057323,40.62297092065419,41.481934113180344,32.1974913783746,111.65776685806858,50.40618807441291,60.566216878599825,64.76020538717735,85.84504884142693,47.79774512669082,53.61427911394719,33.51901588478153,32.783443672750884,86.39711353830705,38.655462793615214,46.794501885926984,89.10540173184853,49.676109440706036,49.94345249149541,49.48706286560421,59.394774647494955,67.79610223873513,47.53324526680313,55.28174179089692,36.91786504802405,46.23066499857186,44.2344853737445,36.650506091456975,70.16604329596561,115.17207175941385,51.69255752887115,51.41265842144541,75.77377596367228,93.63280857917391,40.04257416929071,46.10536108124376,55.517931312959426,60.3211769552706,27.982147384760772,73.5117639867631,33.813238642641856,42.821015774483094,41.64281392129035,44.69823685291886,80.02361584677519,35.82731569414634,46.84493172082522
2019-02-18,96.3460247110963,40.42217627634047,46.701382916664286,48.357275539893244,72.80938876417612,63.82732975322085,43.648666998858225,85.36958055610401,43.34263901795146,70.58149297762323,61.724590474256956,125.91527240010932,41.941638402842116,59.49706127448717,52.83986686887083,42.128564019463646,58.60476552986454,38.79362716181446,37.92515880443186,62.2214094610543,39.81499488145413,59.98225255914935,55.38950469987986,64.25104779859103,48.138196111198,42.97771576982793,54.43605857372399,47.4524290440899,66.83418080189422,47.67411287550365,54.578302413440724,45.336123037620155,47.17122415300659,71.39271790018863,78.29236475399611,39.62365596673754,46.29632742989094,68.36955196692351,50.26595892572527,33.62881810315896,56.025667886823555,40.889391815363524,70.74034782708979,48.55079938458586,79.10400015983835,70.85347863225549,51.38668198974665,210.21184128743167,61.33400098440899,64.81005471656296,50.0398925578759,41.85246904225736,72.51296222019377,59.871981852444506,55.50273860390281,48.127332620808154,58.53430153888013,52.804460644182214,79.43459468312692,39.541732377898896,74.73795213308405,84.0169583636462,55.96737315745038,82.46248635196758,68.39509637130507,63.703853454411465,38.11644942197883,36.773092692942356,28.725269793392247,61.11980765025404,74.8075115126924,46.47427482758106,51.084616802396795,60.05428389581474,53.137927599280566,61.791264738342505,35.634386087144634,47.34462287352908,42.807164477156505,70.52219527595852,35.61780130806551,44.46176125112606,69.65818228495989,65.60908906203105,54.403894446867284,44.261237700470545,45.31104821510323,38.14314177411946,48.24347961299046,100.54366502820731,35.798324666800546,35.776321726883104,63.92490942251511,30.42329272891432,23.40951863060801,58.159097943540424,25.291041730793477,105.61798289169924,50.15806455233345,41.506779829092004,79.88608909556868,63.8428849883986,47.050827978609135,51.95436681280133,58.790264735604325,21.834667965823087,70.99549436978869,28.217531945339285,43.131845934683724,36.728324747087605,95.50828077249045,37.89802065433384,43.01608492606921,36.2459815378186,45.37007721811864,30.271783933706626,105.92414195296877,50.25599081890446,66.85637625872941,56.141153239852045,95.44479097875734,42.693198894530134,45.55972027354611,31.404232894180268,41.61269142514846,91.23207845543688,37.62522578631109,47.67621771909093,84.5603841934537,52.241468560870274,49.671210596501076,52.249921005394675,63.44067911977597,82.23709239340144,49.1135618197784,48.978898013155906,48.81321086868247,32.748123973815254,45.53295825833242,40.893475531642,75.70353240377206,105.52028815720085,62.47079683939071,30.31479252744593,59.91752494970591,97.46672127205773,31.525826216801356,47.322542429225685,47.95770262928998,54.69819610381882,42.87361103067942,59.151082675645725,25.514272347969168,46.152354163909045,42.2864699773104,45.392985975456746,82.38267348559215,29.86792473291194,37.276331642388136
2019-02-25,122.34497381461227,43.6688207163931,43.076244834097274,54.04325043281961,71.56479777146181,65.51277575672015,42.034395069335645,73.86017853964724,42.41290304412574,72.70502272701623,62.151784520445226,127.56323002066868,49.883140948585655,64.20241190319899,52.63498572532857,42.98913207977829,58.33321171398764,39.3752649683187,42.217263629232455,54.48686421755601,43.6136161044394,46.41191234253994,65.86971709881264,64.47104325536888,46.92240972297225,45.57560948616789,63.12673073661493,52.77824000931066,71.4429772118187,45.924222308965426,55.10175959992974,48.76136767055275,49.4516319847829,69.84036545613623,70.7729220149956,43.32994444690155,43.57698686804533,65.532315619382,55.5793391284405,33.46423658041424,44.939288854337136,41.710540916402394,75.47587322993478,53.43115638185272,76.79129202358759,58.234686014184476,55.72259715320545,165.31229516433427,66.41685257440254,72.82036546522065,53.782958821821474,43.30841213940555,65.79243778177192,60.0065425773657,52.69176045162156,51.02873300754311,58.660920058702914,54.295036920811796,85.64482218736083,37.22263479144176,64.7918973313293,134.6898676767045,49.70574817665633,80.73664232916606,53.64011847612372,60.720322897473906,32.1432808294918,47.411596108814756,38.95690220234686,54.66712963993013,76.48946790683947,37.30885138279877,32.581897949074175,53.47860664303849,40.61350291528221,58.165289827975975,51.999472002651814,42.975302377441814,45.91452692713408,72.70515552876904,38.8902516354494,45.52249278743367,64.30613589465598,69.24835578417195,59.13407764566514,45.11575821257349,43.977747494683435,41.37463091420831,47.351447497641814,89.47538568685785,29.6466069116464,30.06442499108981,51.23525713500866,13.490749889497767,45.85017269349327,49.3929542923191,29.29034950785513,119.87556069663671,49.73920993847689,42.01545350566542,58.298051278609144,60.296545844667286,33.54039080632442,66.89411631049857,64.07860652261321,31.571126691704197,69.42572811441391,26.741318587179734,42.856773114851954,46.535021041314785,96.5938032887065,44.17653881986247,41.449902216522695,83.52994770974966,51.55182865870183,39.53759357619808,112.04934288139687,54.14039601921341,63.21793000833186,73.20000041190396,86.83913774245492,44.99928451952017,43.654857557793754,42.261900905705794,43.86785625307435,85.72964068817052,35.77656917151233,40.16894663758232,93.80777178033449,61.20839783780803,50.777336384822796,56.14787048545582,68.80060743297823,84.76384039898986,46.65961861604529,32.26664618110751,49.885838406211406,32.24066877735226,56.06802065916827,34.98078829703338,74.57792992589603,111.21373778554691,55.80540358160068,37.673290353735865,81.91427038666416,96.53783463232901,62.47521659574888,58.259466757639075,74.221171285821,51.804832757968185,31.287082513911404,64.05430077725596,42.947882016533626,51.14623436295416,40.97393824999835,43.069448503996995,77.8147718901577,28.333672599172484,34.45575103387115
2019-03-04,108.54335408720905,50.1308808078403,41.9595083403259,56.5647398973414,70.14900558405198,63.134849795203706,45.65639043877772,83.72850653176978,40.52544078834722,68.00277443756634,59.322820672682745,121.276768721854,42.58635675691975,72.3749940910739,50.59667486760104,49.104931719935614,76.83029325732765,43.42828930462261,44.269627262683926,58.49039178842091,42.16968625858918,56.19896235000205,64.17842364903032,61.66101978326726,44.430640132838,52.50180258799123,52.24274907206816,58.082301545518504,69.2301890238545,58.01924696373191,48.169799982587406,45.48978860354777,53.66868216619389,69.05027642579338,66.10057757489558,45.500769722175896,41.28569411481282,60.41199928048485,54.299533397096006,50.7866084175916,51.04302653553837,45.230707033520794,64.18244905337525,55.20336099599897,78.6422952989875,61.29822000486014,58.72534513472706,179.77373836934976,55.294170982330996,71.7648982544861,49.09050602353776,42.740043281784615,63.45457107430992,60.69054117446099,52.126808244154404,50.0641791066587,60.134090533287115,56.333642669999826,81.4517943042379,48.74704161075699,68.26363006902355,104.51865502506416,61.07442261836771,82.34167401011729,36.97346739496978,58.61800081529865,26.66453655397161,48.35982805815974,35.693993269671985,49.12231214043212,91.04149053880673,49.28146115148076,31.325787842161546,56.85254842521138,22.88218050779553,54.633433481413924,35.678270040344046,61.99888339957226,53.31435191729802,48.0782034638201,33.22432948518091,47.5366555739234,59.338079479699964,76.50276343528502,51.5789615243373,56.65400215231023,33.110168898809434,24.43211919396843,52.01009065743165,103.7898966559797,38.861929782403344,27.35749430356716,66.19788644737929,13.191425941455517,73.75620732505982,42.23311218729764,34.67167907573716,109.39027867907784,50.33766928194084,41.46614980977489,74.79251723754166,54.51482586607335,39.01805541191422,44.6988715245699,46.85443995751928,37.78736529458313,61.99937760893588,30.350126910266024,60.244675386789865,60.217603602738066,93.25142720304892,49.164681808272924,68.69864600872302,75.06545217338184,49.206101269279,58.18569241945661,93.419169440395,45.47326360471711,66.63117171365369,76.60086071256052,80.11027585579635,58.50421868539221,56.11198853010662,53.05896547381567,46.365822828614064,73.17530183866016,41.9776154189711,51.9676173471441,84.57239350048403,58.48412728909278,44.31956507546706,65.63753297017372,87.67713062134798,71.50968140194018,56.19496487613723,44.17982674709725,74.14224960104715,24.692951348685412,52.33094895140816,47.76341268081625,67.59913113479894,95.41087930269146,56.40631564064943,38.89429701898861,80.44637943964095,94.50630297377262,56.534724816348046,62.48109881705865,49.89691028294989,53.757780740893224,26.436917954122762,65.07875404931657,37.803411020065454,75.84327450118381,28.53215644769712,54.264243099153354,76.03048121945207,36.770784166488795,54.949039875183885
