location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
Portland,78.62171741339951,27.569276501296997,64.93%,96.44%,90.34%,15772,2692280
Memphis,48.29612530871532,23.614156428678125,51.11%,85.98%,69.86%,10654,1843640
Oklahoma City,46.10680623601906,20.9605701211818,54.54%,79.14%,67.47%,8762,1318402
Las Vegas,80.67160491484721,43.35265714242289,46.26%,82.16%,69.73%,16039,2187623
Louisville,45.92065702566782,17.145613817027918,62.66%,84.75%,70.61%,7007,993743
Baltimore,45.086538214811576,14.912995372398353,66.92%,87.71%,83.80%,12345,2378975
Milwaukee,52.917554812723154,21.776105666601893,58.85%,91.03%,82.29%,7680,1156908
Albuquerque,51.30646694208219,19.034299554875396,62.90%,91.53%,67.51%,6380,846652
Tucson,53.832933906365135,25.20308197519115,53.18%,88.24%,73.60%,7484,970493
Fresno,37.413097303572656,15.069544035507867,59.72%,85.62%,79.65%,7544,1090503
Mesa,48.74176170444105,31.00635103171485,36.39%,85.41%,69.71%,5077,690663
Sacramento,62.2228445634215,28.845678043834877,53.64%,86.47%,83.49%,8813,1245978
Atlanta,87.95378938199805,40.87665955206491,53.52%,78.98%,72.17%,30707,4947239
Kansas City,62.35327452449078,23.72262365236731,61.95%,91.12%,86.80%,9449,1258467
Colorado Springs,64.7354530235367,26.732520958639633,58.70%,92.78%,85.70%,4742,618647
Miami,114.18865307746542,58.31642576443709,48.93%,89.31%,73.71%,21085,1719859
Raleigh,51.99618777932748,22.117835539857612,57.46%,87.96%,77.21%,10467,1386762
Omaha,49.72542022856312,20.091533381925558,59.60%,97.44%,83.46%,8298,926896
Long Beach,55.20890850880146,24.000810201031204,56.53%,86.63%,76.81%,9775,1515624
Virginia Beach,49.232833159892685,27.042212278811746,45.07%,90.85%,82.89%,6316,953266
Oakland,87.33121653135107,22.29747815190469,74.47%,95.37%,93.16%,9516,1577411
Minneapolis,69.93352725973354,22.89330418739647,67.26%,95.60%,88.24%,11075,1462591
Tulsa,49.074852110759494,23.8255040534266,51.45%,88.14%,72.45%,4758,626030
Arlington,56.00347302863042,20.056230667200673,64.19%,90.78%,86.71%,13412,1907754
