Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA,Northeast,Midwest,Central,South,West,Caribbean,Albuquerque,Anaheim,Anchorage,Arlington,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Baton Rouge,Boise,Boston,Buffalo,Chandler,Charlotte,Chesapeake,Chicago,Chula Vista,Cincinnati,Cleveland,Colorado Springs,Columbus,Corpus Christi,Dallas,Denver,Detroit,Durham,El Paso,Fort Wayne,Fort Worth,Fremont,Fresno,Garland,Gilbert,Glendale,Greensboro,Henderson,Hialeah,Honolulu,Houston,Indianapolis,Irvine,Irving,Jacksonville,Jersey City,Kansas City,Laredo,Las Vegas,Lexington,Lincoln,Long Beach,Los Angeles,Louisville,Lubbock,Madison,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Nashville,New York City,New Orleans,Newark,Norfolk,North Las Vegas,Oakland,Oklahoma City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Plano,Portland,Raleigh,Reno,Richmond,Riverside,Sacramento,San Antonio,San Diego,San Francisco,San Jose,Santa Ana,Scottsdale,Seattle,Spokane,St Louis,St Paul,St Petersburg,Stockton,Tampa,Toledo,Tucson,Tulsa,Virginia Beach,Washington,Wichita,Winston-Salem
2019-01-01,90.03571167835146,56.39462776192409,45.63600366957146,70.03826692736885,77.24637462909385,66.61960736577343,38.035111533954506,82.34547820490683,37.752699574643,77.33572615073423,67.86934898525566,177.87824595668548,58.226864592935435,65.44022693808625,54.229976848602384,54.65730883826085,67.20783574098472,45.69907985597239,51.410704892820064,52.70634897396158,41.18608017212451,52.95647537273344,55.976033407681314,56.3149956549193,47.97939218264224,55.7596637949337,73.8368831336427,48.15542525580138,81.50539122634234,61.72740579970471,55.75617483878344,38.77570559418985,66.16495341710477,73.8572275582104,70.97736851954578,47.28647583425626,54.838598828257844,71.98130834293424,50.443976375711344,52.37097193168472,44.63769571571811,53.335366322716105,65.9750937703908,54.921622156638755,67.70969283250183,72.49301077468658,56.60838971865872,73.11228315137508,21.359183671657966,72.50894051684308,48.767639855707685,45.66356277362818,60.64452267776318,60.98779359055428,48.91102487899419,52.12641856344199,65.12188747824663,57.9404466850679,93.28147467521283,62.7416275415299,55.35373555226349,55.03551956839898,94.88229652251013,55.44924059279699,93.19508710802825,35.80606669881786,73.94595142646322,37.7224922795565,41.075629568184134,70.17560929987242,47.38709007383892,75.07719952505771,34.29250835001202,51.28657918048697,56.984900287343734,37.873123035625966,62.0997667348461,54.87803270244792,64.60952089335248,55.121017080152775,63.48720372218761,59.77061209234131,53.301572721986524,58.381796260825844,69.99397361845378,49.498376177075365,49.31372013551999,49.52825282146764,42.1973139005129,57.397501358438475,58.028133716542946,31.756406627077226,30.733778197139202,60.32257503058471,34.270890794292,32.54401234472634,64.98977210837418,62.86572759650113,167.24097828405516,48.746279781107425,62.45605998127339,68.92556109224711,56.900664609835566,45.445902740018816,64.5970035150531,58.922696810474555,32.165250697987126,77.33637147057527,40.55191960425279,64.0115537090834,50.05411716604312,102.56349592713563,44.136385437316115,61.717068505090886,45.750846622890464,43.95985940022174,42.781886163299326,107.34392153380294,42.237206874549976,66.07630051887267,69.24304735181242,83.8964079039687,51.93627150876456,55.676182953357156,60.51430046210954,32.776375325005986,73.92768939322714,49.583298343915864,63.12502804041295,91.52978474177692,48.32608248321869,58.206493984197856,51.519559330025636,84.68573040953002,70.93073961142761,43.746745124317684,60.16323977066964,48.14723668293551,42.299475836928075,58.306626051626225,44.600356867677746,87.79049214252302,121.42756819797464,63.30371605711064,24.762758422686762,87.5162717112427,99.45008423126562,51.12000145609906,52.039332124232104,46.90476500775608,42.46405212723262,39.92986470994603,68.15089342729588,31.251711526652194,53.7204159559235,55.45300447766629,45.35686062408521,82.69549732359881,37.065571058313154,34.497347112255646
2019-01-07,110.30925503184234,53.32710840148969,47.18583768939305,60.15244559780859,72.63595913475882,62.37797192569853,42.51629516577889,72.12870451738895,32.85976669244416,70.5147110552692,62.386992185544,168.48029874279644,48.29662318589086,66.95563806610544,52.35605954412375,37.2677193306611,64.40028658249797,38.10738881960858,42.80740866624369,55.20432696503464,40.889502818001645,59.39084996318692,51.47441913669286,61.087328264100854,44.74578551720515,44.198230876683134,70.33670020109967,45.83262274574319,62.30715571583114,46.70513960716774,57.93349600279807,46.983460139281654,50.54231089121458,73.82972909323094,71.55488856312803,41.72574155948968,49.506495110071036,63.69922844224412,51.15979956925258,58.0000446129825,43.633213076111936,60.09547952556416,62.83730387400065,48.5242759340477,77.44821035340918,51.56320921290582,50.400285919704245,175.35692953488612,44.54072190343675,62.037117465697186,51.61629053546713,35.238857415358474,68.06529192081334,60.06662099624881,51.566252114653686,47.408595099248885,58.62937862619379,54.657595220237354,89.55238406919125,116.6784870739343,36.703614596632924,65.8741453942699,106.40584098287765,44.92441454937606,94.31941826335267,56.801767735464104,61.859402994407084,37.892520356874606,46.16299685515896,44.68477860964038,78.86657832709044,71.50536474888385,40.969137433321436,46.45053241289492,48.137333999158784,30.633979751399693,61.7949191680267,40.32562794804174,60.508764245727065,55.21710648472822,47.68767328135222,33.2592901792359,51.903713376163786,59.3678595417103,69.93466524501257,56.090028345948774,42.31393354091874,39.76107485615985,28.56021670850059,47.392603594961884,64.93794356532165,33.07899159078991,29.54251327251825,64.34603714707188,84.56055836393266,40.35215774390445,64.15684216463853,24.829540447759666,155.56825403507304,48.39256749326293,37.375134029980046,73.53968272179709,56.23426061312793,42.2039298821007,65.50485333255307,53.702212343323296,31.81251221558244,71.08758801124924,32.904971904071324,41.63040788199893,45.87312115387315,96.1842490999945,42.10669265788764,68.68335222512128,60.52161948083665,45.3044254302444,37.78294185585755,105.55605455873823,55.775127201679936,72.13764725769794,66.04064727115457,85.68979212717517,56.38869338503727,58.396678384428505,43.94609110638942,37.55230655694059,80.80880923842732,39.95209327556825,45.21903431633314,97.03824884029957,52.18749619767583,56.24734171319376,46.013762936356564,60.02796279298411,69.60224660436961,40.76858319575849,55.65160631647103,48.430710740668204,33.0890501941436,63.499384505353056,39.4718890255066,71.22511454718763,98.76171007228045,62.445641549436225,35.820138216402825,73.3977017223193,71.59368332504145,45.204337981073344,52.08137189048874,53.125451483189224,59.43879969781083,32.88834619561489,68.68764825766269,37.22447852810115,62.26744860712132,38.60430272381997,35.338620231995385,72.2312119916556,31.337275880745448,43.36687288161482
2019-01-14,96.9631605526159,38.39052276118088,42.17693304533393,55.05900684783864,73.2328246983882,66.105078390062,44.63850750864536,66.518543743151,32.98417845376858,71.91505852371246,61.7242866557849,121.33580708269973,37.853848840903595,64.34043312379933,47.76199084426076,36.628489015812455,59.598337391246396,38.92971996205486,39.562909686447775,56.48904930794088,39.434679136168974,56.77025842774506,50.08484361180952,65.66531249238656,46.3552674413189,45.991933271864745,55.27907670619405,44.091194508192665,50.06926026801767,43.779060645649565,45.171348125490475,47.73843036871935,48.655460133158186,71.70221253408984,72.35954236751101,36.46598696711046,43.276167390906856,60.25975980500368,49.63018632333346,47.636626954683855,54.68020884239833,41.695766586500575,59.9052341027113,46.69384130242593,76.0607244652283,60.710755184564285,50.86471166152327,76.59579554525072,39.70410824987219,65.71277613041839,54.96822599084326,38.392181206515616,66.84737577460956,54.819943376563465,50.50992007122872,46.07929835183337,55.602665568729115,50.939119735751234,78.76055585282742,62.11621124996729,35.62724613296624,73.32880767919792,113.14503871289652,46.734037016572856,88.18836146846373,56.436624524116155,70.05232494031671,31.086262461890378,34.4164145533674,30.799649753568634,54.76278978530009,75.67667878552069,52.2079447153702,47.93085566149983,52.582843542707145,43.77539210819003,58.599893798739345,51.0580598019347,45.9254838928135,60.48382818803083,56.82429905885814,32.42196584133686,47.95953291846656,58.243200364782545,66.0425098442318,52.76858238350294,34.18697059292463,48.91939593328127,29.804333817001826,45.945967071061325,56.98893441430933,29.295827925755948,37.60963077371931,46.45166756296521,23.127757687824214,21.75132179904927,56.82062719865141,37.14027797944458,124.10888830304144,49.92474776447229,40.19883754595204,66.60631391586817,56.977020650403965,34.739330822150826,71.15005206518785,61.09167132299678,35.72620464346965,72.24143922754345,35.157192421697644,38.605001998789746,48.057461293993384,98.49427201193268,38.98671432844473,42.64536799690219,30.64685940984613,44.09190939081994,32.29859830453045,115.41531815594251,41.50837901839972,77.24868780758784,62.98071340667806,86.69734797826513,50.972052325368736,56.73942356263626,43.68447272440713,36.85546061732894,82.61127193920801,36.959621308340296,36.945194744602865,101.34103100268062,46.831744800450004,55.285023561087634,54.10247410681377,64.61877463180711,71.93394959460592,38.4711946371637,50.071784149149465,38.40456013832445,35.824365398062135,47.47085291274036,36.790711711678455,65.83688816714199,109.46821123376164,54.7525944278333,40.778062451740105,77.28056609417175,78.42260701164496,57.8172273379148,46.665942231117135,51.87359906307293,45.84505302324868,33.569372044058234,72.38667247754029,33.58913991229373,47.08683744958497,36.42592686574592,52.56573392739565,69.3658996689194,31.550642657565252,23.580371278013303
2019-01-21,92.40165042190182,42.242660986439844,46.38168105416207,66.10921222088459,72.84210740455245,65.69126007268325,44.502238357354095,74.3211855437019,35.73523999475238,78.5711111997642,66.91641378082275,129.77287256165621,38.16589478021426,68.77043001884985,50.324330057385595,36.54866406706743,55.98644954910007,40.02819088963271,39.681968108602454,56.325648484615,42.81312684748447,59.30884017774978,50.636244170798676,64.81850964357638,48.4142026648246,42.140973361886495,64.08195559764617,45.280423378459,52.90662824396858,47.12055497216266,43.72306511665305,50.275697032105036,49.64256818583097,73.16153158085808,81.12665922798344,38.345878388297976,42.68051932212812,71.38285828699597,51.650344899337185,50.33723582078207,40.082361164526866,43.01486444889162,68.19265017517468,51.89207837293865,74.9805133161547,59.19897467875799,51.81793813559121,164.02779481092043,54.93474610923896,69.45082406317725,53.50295684105487,37.21716639732614,63.803484943189105,58.552516602464415,52.89992941295851,46.75387461142805,57.125690125457005,53.16151381249905,83.65992082652805,107.18251531585125,42.588575674910814,72.84964603994148,112.71574543910073,54.20323855722013,83.96713712890677,26.36205534913448,69.92457421219298,34.75561694220355,38.94961519583714,33.07012591939093,62.93415517515578,75.9653324016107,42.81299081640082,54.26338482871983,53.35607179976539,45.95599835265031,61.55872264658143,50.056517536875496,45.785976191027345,57.12047759517105,56.787725178624456,33.204566883309404,42.21881389703371,61.89169832810027,75.10540871168692,57.36091743914371,43.54063204369968,49.16986192096507,30.421423213029467,48.883872296800384,64.63012764049013,26.409217896451143,32.58158468042246,56.244727978221,34.457718463089144,24.511726472457966,62.06740938446242,27.832683955038625,126.54694747024608,50.55846558263357,43.186451093823045,60.2943718696982,36.90104186447292,31.43972254853369,41.10568132678524,65.45176682535046,25.381186823272238,73.91075600044032,34.51571489680658,40.45938846752925,58.59693712431475,92.75611260747922,39.91386271883013,29.285760314847412,19.325360216640608,43.929473461648904,29.385617729246416,123.01518413450754,49.71086692670927,76.71510103898491,77.04921374814569,95.63186953832485,48.865048339289245,48.589178402055424,31.535221922512736,40.873349062830336,71.91175072969494,38.57309248723517,46.80386593694808,93.05446611542091,51.99347182728658,52.79893685253466,60.033211415672035,66.50475236660228,82.09774810660579,41.03433902717809,42.45535121255015,42.108421295068936,36.50604955636443,53.53793174915782,39.917458728384645,72.9295470425742,107.76066615928154,57.75849079340464,35.098989488931124,93.29815906757194,89.50668706680672,51.81453456116213,53.586380752704706,59.681648657077204,68.38079930117675,25.32205193313291,71.0466864330012,34.27582219390571,35.04799339193827,42.60562854944008,44.14227803819011,76.47611673428891,35.00460257331055,38.00774528234869
2019-01-28,106.32007297752008,34.63975383318271,44.22183155859392,83.59277704837993,74.74577514744661,60.96976208506379,38.41287338780052,66.01716607808714,41.347355478190295,80.90370416888146,74.29185672311922,114.0194936116378,39.458691125567704,58.20714546853371,46.94118077583105,38.95873841990576,51.34725866576194,38.18356968691001,36.53662665178504,54.409410434378636,35.269927205334746,67.64252638805544,45.78396937713914,58.65147443621298,42.953558901933896,39.63956282159429,56.68135310765897,42.97741437173653,45.76420114751441,45.65383311947386,50.9895114046745,45.711032247656576,55.270705376106996,72.06324944523853,91.83482073776399,34.887857450111426,44.2909811512179,65.41401479482306,49.162175688071784,38.432153771777784,43.75305113110274,40.83879710148347,55.48050509482633,48.537064680456616,73.38696737730812,55.99493148990629,47.21342497545904,119.15676684629541,42.92969104986932,63.34644332807376,48.98670056802275,31.867960017211704,53.512650465162366,55.42649661124249,52.289961769248805,43.8673045268483,52.79271221404667,51.11935699006239,84.57309615131355,78.7944603090366,43.56886793690889,70.17891573846317,108.94394036958836,39.61415208330486,70.73631142124495,16.349104608392125,58.047445451203906,23.475651685965584,38.116397116393216,31.059841631623787,43.61633512165867,68.55000741359966,33.59339005430509,41.42235437700429,47.231757914464254,30.9510718456573,55.84087774816023,32.330917951304244,42.04049135164749,48.98036192489921,52.81818844400675,33.77097071077036,46.699960823193855,55.42355479491257,70.25168496002831,45.912107636761476,34.287220311366205,41.519976328964034,38.35142633879058,45.467889927089615,65.01159173859932,33.12492283900612,32.562577251905395,40.56486129090058,38.97663507199813,28.20375823836921,57.581573484540364,23.62642544074809,95.66551194894221,47.97591345591505,41.33155888179626,77.39316330425005,39.10435137655018,23.113554412763914,57.4691731483509,51.34206313110739,29.773404926487967,77.33267321299677,27.836211951793146,37.13055305960759,42.20249145783024,95.55907030313158,41.270464657206155,33.22556577623881,47.460077785974256,40.741289833747096,29.178752545943304,106.87508316220114,54.08748164025111,67.34805459537452,69.75656791215017,89.81067253813723,51.76547473605315,45.50919681635096,21.662454749715184,26.534298251503238,71.68489680012867,34.773701539099115,40.1189417084054,101.26917840562038,52.063855723482206,44.992450148072116,50.39046246985268,49.19074837293047,70.98802588024978,43.99081421954704,37.23727202764332,42.88333977468983,31.584127350024374,46.1861149800257,35.62482713439079,63.39270852832561,106.89931392921496,48.64297078366789,46.29124634386528,72.48160871247704,84.74201608289333,60.120957688367206,58.4761983650251,41.346737526958755,59.37115378427415,21.25014739370685,54.59745166916794,29.142078628386923,33.67953215102456,47.052841787491204,44.87636790069768,72.58233275499919,32.01407136671021,28.619043177349855
2019-02-04,89.01148391289443,34.151061847614045,36.35742007401401,48.70126307200092,62.36639689731339,57.767403864347706,38.577923329461115,61.72803898247099,42.562521520648176,65.25323825517127,56.3986353214913,109.483164359514,33.96718652255377,45.79389631274458,45.78745233664253,32.294778972552514,48.08948525524835,36.55166146892157,36.105446321685754,49.471809482203945,33.37579745591575,53.270152461084045,44.65794719748097,53.734070333303535,38.989755561823,39.7295893300165,51.10516597641924,40.00733446944687,46.54105544166994,42.898691464762656,50.981593293976424,39.9998952314474,44.324297265986225,62.3389629741774,62.516053074713106,33.420745170228706,37.83075349200188,55.29621214865424,47.93099959143885,38.95078472599985,36.97797455552603,36.97209070588527,46.177587087615464,44.03592398372907,66.62786063103428,51.20848035474182,44.20999726227059,56.60752537212512,42.885682575244495,55.27919508033585,43.12458808842266,32.01330965430397,54.59470383786127,48.2836800747007,46.68987012951086,40.28090951688103,47.48267805225765,45.577489845263244,70.02295257845213,47.77915504906248,41.0760521809304,58.374357334517924,82.57690514667208,36.78362410676834,78.06654379242467,31.439162402088765,55.285621557246415,31.86267938476604,33.486253822489644,32.243350173626425,43.87303382530471,60.6738219981501,38.31436903535333,39.657775506505295,43.18492866597783,26.93140170791653,54.97545081436215,35.752122511250356,42.65535756569849,39.57274000251724,46.41145909416159,30.284512422391156,35.87575841668015,56.374540084045506,71.69620698202354,41.59243940910531,44.0155160877465,39.698024757886756,27.111429791839825,39.841565633229735,52.95492906502733,29.46686112786589,22.84681182227962,42.64974715069276,21.76896202525577,15.520484368701194,39.512341842104256,23.864998208943444,101.23418228715336,44.231845642304755,32.043048187736275,43.54852250709667,37.0624422282083,30.559681238675342,37.1729160316964,52.69963327462568,22.79142105146349,65.33441744181704,29.42332387697904,31.82085903496195,38.66617801408169,86.35355071318943,33.69894685605228,40.609896071805494,30.63809380620212,45.23078027591643,32.71010021277133,113.79789052234112,43.02277305869636,52.777266521240634,55.86043654541333,75.71723049268601,52.19388669210332,34.602092229464,29.656891611554972,39.219363168919685,86.69765166735422,24.71848083434724,39.309225534186176,90.4822329895428,50.01187382997461,45.72395563516536,38.97295153521483,53.74470679487117,60.337221840289786,36.05820668122404,43.83529776903078,42.523017689068524,24.405230513519808,54.345718950359725,35.11229831291731,60.685718694553174,90.58914202301176,42.82888288282021,32.639911238938225,76.02576658064403,71.76200596973784,37.185325266072454,46.903360368600566,58.56640279251156,69.62691640914093,23.75489571862773,60.29337670136111,21.846065766335748,34.03226825744673,39.134851214353645,47.185823745186774,61.05422022256614,31.136736474655812,28.814347827511767
2019-02-11,126.58716991113992,41.8189038645294,41.86139334603158,51.962043935629254,72.70743675367038,62.99774244050646,45.830902556194594,79.27550482149003,39.273799666567,69.71621551108603,62.00225524732029,128.92827287618329,43.68593310279656,61.18622526599876,53.515057023598615,40.51146499324976,55.93425341012697,41.9447536701552,38.070935981050894,59.55405756148422,39.9384421128406,58.08068985510776,51.5565083740709,57.99015237664418,44.37505674084653,43.512694028330976,62.332224008825186,46.86639317281849,72.5640398529913,48.2038949788383,58.291568724577246,43.40752582347779,51.676872222788134,71.91878332330377,69.73988705695517,39.31416019865232,43.58288400140526,62.17025159534275,50.68181287966286,40.591068081879,37.76273246000492,42.713020101839156,65.27380489193575,49.19622198243514,76.73020048997984,70.53350280307997,52.611492346544544,131.01351896801123,36.68268581114751,65.82892630427422,52.84583051615119,36.905048873103645,48.34408295659728,57.36981697836362,51.54330077745914,47.30432411068503,57.137314109339975,51.66306875707075,84.6973502293733,85.80229352494511,45.9375800769079,65.93102394925468,111.56274266953275,47.517776313592975,93.34900833155504,37.40302291369208,59.033219339557895,29.86171110002921,41.431637474816476,28.887032843412218,60.330796297821685,76.2677681807063,36.41201754755785,40.35126970578913,57.3198217486113,44.006630656772316,63.796384502271735,35.385271312487575,43.479069621426476,47.92297112558177,66.55879464542731,37.688501528135404,45.68911028966546,64.20078344259593,66.61540548425972,46.70029920496679,50.38540837394545,34.36283944635313,48.475793841026146,47.32315175477348,71.71639889437753,29.82632773396543,21.978924993905025,49.82538821059077,75.9888295452532,21.632456265566674,47.58983872045472,34.1470322672142,117.5254274177651,48.61799689500403,36.575117164068395,73.47184671599408,45.32523827234272,29.19076242140607,40.99283400119689,69.05585732819557,25.871718505041247,78.37686364409879,30.826654829987035,38.00648664021009,45.98950317985357,97.48149977289768,36.42119010996845,40.93605738670897,40.62297092065419,41.541729466262886,32.261955958482204,111.01308013783311,50.438215365797795,60.48648423217842,64.69070139398387,85.77320066053592,47.88886830235486,53.57956249195665,33.52013269178477,32.7572293366202,86.33606713396317,38.78686484014613,46.83164300852921,88.88253938270823,49.729641642591076,50.25864302125482,50.901240442273576,59.183851470092584,67.78864133372312,46.71367701298247,55.14113017498002,36.945440581607144,47.750699872617986,42.87958206292481,36.67120162845547,70.32365841992521,114.80694999991033,51.661902385277216,51.38406634544134,74.5741859542357,93.65716242893028,40.04257416929072,46.022901624706904,55.66469391255216,60.3211769552706,28.104240185328933,73.23499772076515,33.813238642641856,42.747528790851185,41.69785085304629,44.71175871514617,80.15477514944736,35.76386412170807,46.91218075817144
2019-02-18,98.85883571752899,40.433957006914646,45.44617826101047,48.64873074814751,72.4206998984759,63.53094382583424,42.588018141354006,84.33115355964783,42.68003504413569,69.85477703987426,61.87409693927373,124.90350470671468,41.88452913127915,59.801504281844814,53.58111937559598,41.96206125770305,58.157976156383974,38.3456333969196,37.88935880111042,62.8137176189292,38.500837162272354,64.05627865119484,55.18662110600636,63.0090293856773,47.89629630977107,42.52009646427978,56.2535763483739,47.658581633656034,67.2245909804161,47.038090778729966,54.53096183918544,45.83368162660802,47.60797852244572,69.77963298571875,78.3978364901785,39.69599965681285,46.19815247362544,69.78414534248019,50.103546875132906,31.62898562401176,55.53608259032519,41.00842747829503,67.91936293888172,49.104642825250025,78.93430043176059,69.65212992344303,50.90504677080264,196.07321794942126,60.8100650928287,66.47686089254535,51.13897371321161,41.21347602841222,70.014867600626,59.4660227434162,56.68185122431606,48.07780703699744,57.93893439582956,51.88766649553496,80.1821295509821,113.85110178671651,39.402722935597566,74.65899996580954,83.92604985520008,56.31938354594473,82.0851867228722,68.39509637130507,63.68809615706438,38.21735638856156,36.773116932262134,28.744591268071236,60.98368335704636,75.03683390497199,46.43450868597235,51.08461680239678,59.48677872045416,53.38195867571973,61.79757722671671,35.696861684771584,47.295694175381676,42.30636674902747,70.69253316396053,35.683230704358344,44.00854329687086,69.93311657636553,66.20883137803989,54.4395847024395,44.390341590395934,45.34277864102418,38.217976324206326,48.14278773629082,100.84290212650555,35.73470751672115,36.40684326999028,63.63933149866628,36.4741823318934,23.429240213279122,57.9918421661319,25.291041730793477,105.92391592901886,50.14313870331638,41.46783898766713,79.77716933097008,63.846005212964904,46.57071748903148,51.87077786071031,58.464186042771566,22.068212809467603,72.7493494610154,28.437981413662246,43.144633549428065,36.719852594476095,95.5943454657203,37.86450537392464,43.01229586598098,36.2459815378186,45.381137431727545,29.82183428579145,104.28255276506987,50.25712994161974,66.26535180708706,56.17503445631036,95.45139618501531,42.779462917088026,44.290850778411475,32.02151705069906,41.591221224038094,91.10191244741846,37.79393863520778,47.75299101654518,84.94213106817675,52.8084752589725,50.05914080008381,52.11780292848995,63.081899670598276,82.22629079584058,48.63931770761222,49.11180321344215,48.75075897662114,32.735023361024716,44.36992160078728,41.080973015944274,75.6255452320139,105.48529530820593,62.48266034077922,30.300641668256358,59.79696384045991,97.42579274691047,31.627851544363818,47.19425815087629,48.00217777656183,54.69819610381882,42.95745014033901,59.22340674681719,25.50994050753541,46.148649505091896,42.2864699773104,44.815430083859894,82.28201502389895,29.72125155672069,37.28683397672974
2019-02-25,123.64196518807272,43.46306244186612,43.10019404217884,54.398963308793284,71.74740426437003,65.39760889603058,43.97159707384871,74.21361751086474,40.57273681969888,72.17668153569679,62.032960839357386,130.94766599469207,48.77471131265314,63.699073006602404,52.007087133901535,42.6821513691655,58.36105331483094,39.911278934145216,42.04022967973866,55.69525694556364,42.72303488022814,46.22562406321245,64.70611713772932,63.31410771285504,47.24862136002037,45.330823051090576,65.79577857261224,52.62228895689199,67.03868599728065,44.20078492432045,60.473947428783525,47.982612824136154,50.29102859891838,68.75610846396268,71.08110294166706,43.1107537429416,43.55894822209614,65.46329217941862,56.06656761856709,31.73273305612889,43.9510680747664,42.23625883651135,73.49875405441028,53.8919869924711,76.95008727070321,57.14194630197025,54.74672176188211,161.0519510194691,65.62794855736358,72.78369708834295,53.40777729820189,43.03352437749195,65.09851582718028,59.81091507180561,54.04875956155837,50.573622889068176,57.947807376677474,54.31938026926107,86.49716467061495,96.392342037799,37.19724728850481,64.86594521399367,134.12865989471823,49.43501131408521,80.85537821171843,53.64011847612372,60.88386432601162,32.22413684829028,47.417841471584424,38.95749135116,54.52136658382955,76.64749258038773,37.375392472733076,32.581897949074175,53.35435578183196,40.59951686795656,58.17164153937507,52.1388807747769,43.070900208789205,45.99742545922465,73.10154174423356,38.88324557662384,45.50111061962159,64.63005672175845,68.95739571040096,59.343447217100675,45.07480295702958,43.97362601219918,41.6723114288929,47.57710727414892,89.61699579843281,29.606807894412327,30.067989208329,53.27457528705022,39.83562011063971,45.78839876036111,49.53330961971624,29.29034950785513,118.58527792300586,49.76711743064049,41.411957823278215,58.5037334898463,60.218747820504596,33.797295270037296,66.75326056959439,63.51851410121858,31.512609075361055,69.60196474002123,26.656710087063427,42.856773114851954,51.11330867527065,96.36164926949651,44.13318598490677,41.40927490048357,73.98835087795935,51.49073553640997,39.464156648990105,111.53327555733743,54.16516303430546,61.991396780606564,73.77789853005461,86.72541591182843,44.480891746920975,43.65304803647558,42.26205241337581,43.741708183457746,85.6778987987547,35.901743363753205,40.15716787749699,93.11689892776906,61.46932252713298,50.71937532017695,55.85288042821245,68.68258877702155,84.94323669855004,46.622150659042255,32.35923340113938,49.68455483842649,32.26699616238197,55.128902335535095,34.99476761918612,74.64697022040382,111.4014276555086,55.78908607137635,38.959976669687755,82.65491277727452,96.51245608740557,62.680053371472646,58.16059223023795,75.4232434345765,51.80483275796818,31.287082513911404,63.58977483192332,42.89236963904283,51.04976236130452,41.024616223847104,43.045924242197536,77.73904227527322,28.366153178869357,34.43748998060425
2019-03-04,116.92219759922249,49.79537410893684,41.31309441806796,57.06427251507802,70.63016993042058,62.7099104429679,44.60638638494646,81.61526624636973,39.65482168559241,67.95785355032926,59.657109263790325,123.20066585673527,43.61689683580947,68.2351015156772,50.58660476557635,47.75502358643112,79.08176162307255,43.90109286654157,43.53496597658807,58.9664539477289,42.27445074369313,58.237565425661344,62.614323720008294,63.93638642333001,45.07944161593,52.07092172701645,59.07332161652009,58.5892869292551,74.55632535135183,57.31655301411563,55.187252338094005,45.21912398002732,52.63988940782664,68.47391724722742,66.52675989592599,46.065598146049396,40.23587566026181,60.342948547291314,54.48368387432339,45.63688665202169,53.85012012759749,47.399781288207066,62.392701132126376,55.82566932679289,78.32839605489919,60.732157092663755,58.792815541500424,204.4338079733757,56.89799077419831,70.42887882510647,48.427734140126326,44.79349705998006,61.81597323485977,61.57518977372164,54.793322952013206,50.22034467775584,60.04625024883968,56.46747491002792,83.09818887897569,125.03534731269869,48.6431033557234,68.26363006902356,104.51865502506418,61.07442261836771,82.38393045069033,36.97346739496978,58.68253828566394,26.739018499653103,48.26244945934322,35.69399326967199,49.12231214043213,87.64071213472954,49.36565468631233,31.325787842161546,56.77428712683547,22.68332821540581,54.61924740567016,35.89450197998249,62.003637004016525,52.858218135450365,48.29034047114536,33.20617242400925,47.131949670028256,59.58345024018561,76.87209852361153,51.83167013111866,56.65400215231023,33.16198449959004,24.55677286332541,51.916546268995845,103.78989665597976,39.14186507061228,27.36599340774357,66.19788644737929,17.99772367680408,74.69143198444118,41.83941744779444,34.67167907573716,109.39027867907784,50.47717523489582,40.393305468190334,75.28457327199914,54.75819562440404,39.19479259220913,44.54098536186823,46.99342639758903,37.78736529458313,63.43646118921826,30.431944994321064,60.10584916467687,60.36358727117571,93.2417757795618,49.075850057174065,68.85691775885066,75.06545217338184,48.76907330487644,57.75647806638625,92.96012426896509,45.20508884031921,66.63965098680768,76.50876556629734,80.1696884239007,57.84362594297719,56.111988530106615,53.15645647411448,46.58193116283637,73.07751424398491,41.73440144288711,51.45060519421595,84.40629639574232,58.45519774655399,44.45042061024875,66.54603481711088,87.26454782918259,70.98241185567682,55.8687333426142,44.17982674709725,74.1548154422371,24.692951348685412,52.32636004822618,47.825135013022404,67.49875999799782,95.3759925606136,56.40631564064943,38.978493948076455,80.47178965459152,95.52765546413723,56.914152499679254,62.39138211865803,50.052831076373785,53.757780740893224,26.436917954122762,64.00589831676719,37.803411020065454,75.84327450118381,28.579594569348092,54.27316617709304,75.78347656299168,36.77078416648879,55.183864831915436
